,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
115,93,127,35,39,47,63,169
116,115,59,61,51,29,37,109
117,177,47,109,41,55,95,43
118,111,57,143,47,25,75,141
119,145,153,41,63,53,43,111
120,151,169,35,93,37,49,167
121,73,155,45,45,37,99,179
122,73,123,77,69,41,41,179
123,147,81,65,61,39,85,57
124,45,117,71,55,31,71,127
125,179,127,111,75,39,75,179
126,87,85,55,83,51,59,151
127,143,47,69,45,47,39,177
128,123,151,95,55,63,41,119
129,99,127,91,45,47,65,55
130,133,91,107,45,43,63,177
131,41,125,57,57,47,23,179
132,135,31,99,43,43,55,67
133,105,119,99,35,37,31,41
134,143,101,135,75,27,31,49
135,133,105,25,37,27,35,159
136,171,115,97,35,39,35,103
137,161,103,89,45,31,41,59
138,177,125,59,73,35,107,97
139,165,121,77,41,45,77,155
140,71,67,65,39,39,63,175
141,161,175,31,49,35,27,67
142,107,155,79,47,41,59,33
143,55,171,53,35,27,69,141
144,163,117,137,55,43,41,177
145,93,177,79,57,41,39,173
146,77,161,49,63,43,87,141
147,139,111,103,51,43,33,165
148,179,85,29,29,33,51,179
149,165,149,83,59,61,21,179
150,173,71,97,53,37,51,21
151,161,91,59,61,47,43,173
152,67,153,41,45,47,35,47
153,73,149,61,67,49,27,135
154,99,55,83,41,43,71,145
155,91,101,55,29,21,33,35
156,165,121,63,49,37,45,57
157,167,71,159,27,47,61,59
158,93,177,133,55,47,95,155
159,155,133,149,97,47,59,153
160,177,153,59,71,33,73,51
161,139,129,81,57,39,49,101
162,151,157,75,53,63,65,127
163,131,173,73,67,37,69,99
164,179,159,91,63,45,75,171
165,153,159,73,83,67,53,177
166,67,71,73,39,31,33,179
167,95,97,65,39,45,37,163
168,85,109,117,71,39,59,159
169,93,83,65,67,39,71,151
170,67,177,123,51,47,115,167
171,131,133,55,35,37,41,179
172,169,125,81,49,27,69,57
173,155,71,51,63,23,47,45
174,157,115,79,61,31,27,149
175,55,131,55,49,39,93,61
176,71,135,83,45,47,53,57
177,73,167,109,77,39,141,57
178,175,117,93,29,29,59,177
179,157,37,111,41,53,33,175
180,137,93,57,57,29,113,137
181,129,141,89,41,61,75,149
182,107,35,45,53,27,79,109
183,173,73,93,57,35,41,93
184,167,119,67,41,47,37,163
185,179,101,71,47,33,85,71
186,157,165,147,43,59,63,67
187,175,57,97,77,33,105,35
188,179,101,47,57,33,43,145
189,175,93,107,97,45,45,179
190,67,151,101,45,37,43,87
191,53,167,75,61,55,35,165
192,139,103,123,93,35,61,123
193,143,141,41,37,35,65,153
194,149,87,93,43,61,57,119
195,173,157,51,37,31,43,75
196,87,65,43,89,33,45,155
197,171,63,73,45,33,29,77
198,169,55,31,31,61,63,177
199,147,81,119,77,37,69,149
